Product Name,SKU,Product ID,SPOD Product Name,Size,Color,Product Description,Price,Production Cost,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Image URL 5
Stanley/Stella CRAFTER Unisex T-Shirt,595441817-P635A938S1,3386977,Stanley/Stella CRAFTER Unisex T-Shirt,XS,navy,,22.530,11.86,"https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=16591,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=17907,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,mediaType=png/1",,
Stanley/Stella CRAFTER Unisex T-Shirt,595441817-P635A938S2,3386977,Stanley/Stella CRAFTER Unisex T-Shirt,S,navy,,22.530,11.86,"https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=16591,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=17907,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,mediaType=png/1",,
Stanley/Stella CRAFTER Unisex T-Shirt,595441817-P635A938S3,3386977,Stanley/Stella CRAFTER Unisex T-Shirt,M,navy,,22.530,11.86,"https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=16591,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=17907,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,mediaType=png/1",,
Stanley/Stella CRAFTER Unisex T-Shirt,595441817-P635A938S4,3386977,Stanley/Stella CRAFTER Unisex T-Shirt,L,navy,,22.530,11.86,"https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=16591,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=17907,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,mediaType=png/1",,
Stanley/Stella CRAFTER Unisex T-Shirt,595441817-P635A938S5,3386977,Stanley/Stella CRAFTER Unisex T-Shirt,XL,navy,,22.530,11.86,"https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=16591,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=17907,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,mediaType=png/1",,
Stanley/Stella CRAFTER Unisex T-Shirt,595441817-P635A938S6,3386977,Stanley/Stella CRAFTER Unisex T-Shirt,XXL,navy,,22.530,11.86,"https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=16591,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=17907,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,mediaType=png/1",,
Stanley/Stella CRAFTER Unisex T-Shirt,595441817-P635A938S38,3386977,Stanley/Stella CRAFTER Unisex T-Shirt,3XL,navy,,22.530,11.86,"https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=16591,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,modelId=17907,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=938,mediaType=png/1",,
Stanley/Stella CRAFTER Unisex T-Shirt,595441817-P635A951S1,3386977,Stanley/Stella CRAFTER Unisex T-Shirt,XS,India Ink Grey,,22.530,11.86,"https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=951,modelId=16591,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=951,mediaType=png/1",,,
Stanley/Stella CRAFTER Unisex T-Shirt,595441817-P635A951S2,3386977,Stanley/Stella CRAFTER Unisex T-Shirt,S,India Ink Grey,,22.530,11.86,"https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=951,modelId=16591,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=951,mediaType=png/1",,,
Stanley/Stella CRAFTER Unisex T-Shirt,595441817-P635A951S3,3386977,Stanley/Stella CRAFTER Unisex T-Shirt,M,India Ink Grey,,22.530,11.86,"https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=951,modelId=16591,crop=detail,mediaType=png/1","https://image.spreadshirtmedia.net/image-server/v1/products/1f717de4-84e4-4cca-a9ba-24f6eb5a394a/views/1,width=1000,height=1000,appearanceId=951,mediaType=png/1",,,
